name	id	Continent	Years	population	fertility	life_expectancy
Romania	ROU	europe	1960	18406905	2.34	65.64243902
Russian Federation	RUS	asia	1960	119897000	2.52	66.05529268
Rwanda	RWA	africa	1960	2933428	8.187	42.292
Samoa	WSM	oceania	1960	108646	7.651	49.748
San Marino	SMR	europe	1960	15397	#N/A	#N/A
Sao Tome and Principe	STP	africa	1960	64253	6.242	50.364
Saudi Arabia	SAU	asia	1960	4086539	7.216	45.638
Senegal	SEN	africa	1960	3206749	6.996	38.223
Serbia	SRB	europe	1960	#N/A	#N/A	#N/A
Seychelles	SYC	africa	1960	41700	#N/A	#N/A
Sierra Leone	SLE	africa	1960	2297110	6.127	30.371
Singapore	SGP	asia	1960	1646400	5.76	65.65982927
Sint Maarten (Dutch part)	SXM	Other	1960	#N/A	#N/A	#N/A
Slovak Republic	SVK	Other	1960	4068095	3.04	69.92365854
Slovenia	SVN	europe	1960	1584720	2.341	68.97804878
Small states	SST	Other	1960	14260440	5.306888587	54.74907966
Solomon Islands	SLB	oceania	1960	117866	6.388	49.174
Somalia	SOM	africa	1960	2755947	7.25	36.977
South Africa	ZAF	africa	1960	17456855	6.041	52.215
South Asia	SAS	Other	1960	571835666	6.045719215	41.95390256
South Asia (IDA & IBRD)	TSA	Other	1960	571835666	6.045719215	41.95390256
South Sudan	SSD	africa	1960	2955152	6.721	31.697
Spain	ESP	europe	1960	30455000	2.86	69.10926829
Sri Lanka	LKA	asia	1960	9874481	5.541	59.369
St. Kitts and Nevis	KNA	Other	1960	51195	#N/A	#N/A
St. Lucia	LCA	Other	1960	89897	6.967	57.329
St. Martin (French part)	MAF	Other	1960	4279	#N/A	#N/A
St. Vincent and the Grenadines	VCT	Other	1960	80949	7.224	58.03
Sub-Saharan Africa	SSF	Other	1960	228586005	6.636322348	40.37701245
Sub-Saharan Africa (excluding high income)	SSA	Other	1960	228544305	6.636322348	40.37701245
Sub-Saharan Africa (IDA & IBRD countries)	TSS	Other	1960	228586005	6.636322348	40.37701245
Sudan	SDN	africa	1960	7544491	6.691	48.194
Suriname	SUR	South America	1960	289966	6.608	59.66
Swaziland	SWZ	africa	1960	349174	6.717	44.285
Sweden	SWE	europe	1960	7484656	2.17	73.00560976
Switzerland	CHE	europe	1960	5327827	2.44	71.31341463
Syrian Arab Republic	SYR	Other	1960	4573512	7.467	51.971
Tajikistan	TJK	asia	1960	2087038	6.547	56.152
Tanzania	TZA	africa	1960	10074507	6.806	43.686
Thailand	THA	asia	1960	27397175	6.147	54.703
Timor-Leste	TLS	Other	1960	499950	6.373	33.729
Togo	TGO	africa	1960	1580513	6.521	40.297
Tonga	TON	oceania	1960	61601	7.363	61.401
Trinidad and Tobago	TTO	north america	1960	848479	5.264	62.625
Tunisia	TUN	africa	1960	4176266	6.942	42.021
Turkey	TUR	asia	1960	27472331	6.366	45.369
Turkmenistan	TKM	asia	1960	1603258	6.59	54.471
Turks and Caicos Islands	TCA	Other	1960	5726	#N/A	#N/A
Tuvalu	TUV	oceania	1960	6104	#N/A	#N/A
Uganda	UGA	africa	1960	6788214	6.999	43.991
Ukraine	UKR	europe	1960	42662149	2.24	68.29953659
United Arab Emirates	ARE	asia	1960	92634	6.929	52.265
United Kingdom	GBR	europe	1960	52400000	2.69	71.12682927
United States	USA	north america	1960	180671000	3.654	69.77073171
Upper middle income	UMC	Other	1960	1169443831	5.309475978	49.83533954
Uruguay	URY	South America	1960	2538651	2.88	67.782
Uzbekistan	UZB	asia	1960	8549493	6.255	58.835
Vanuatu	VUT	oceania	1960	63699	7.197	46.441
Venezuela, RB	VEN	Other	1960	8146847	6.616	59.253
Vietnam	VNM	asia	1960	32670629	6.348	59.041
Virgin Islands (U.S.)	VIR	Other	1960	32500	5.615	66.22485366
West Bank and Gaza	PSE	Other	1960	#N/A	#N/A	#N/A
World	WLD	Other	1960	3032160395	4.984025926	52.57165828
Yemen, Rep.	YEM	Other	1960	5172135	7.488	34.361
Zambia	ZMB	africa	1960	3044846	7.115	45.124
Zimbabwe	ZWE	africa	1960	3747369	7.158	51.565
